Name,ID,Zip,County,Address,Latitude,Longitude
Merchant quality bar (MQB) steel,ec30fqxs,30121,Bartow,"384 Old Grassdale Road Northeast, Cartersville, GA 30121",34.23647,-84.80172
#split Patcraft - Multilayer SPC,ec3t0ek9,30736,Catoosa County,"Ringgold, GA 30736, USA",34.9159099,-85.1091173
Fabricated Structural Steel,ec37hxnb,30121,Bartow,"384 Old Grassdale Road Northeast, Cartersville, GA 30121",34.23647,-84.80172
EcoWorx® PLATINUM Carpet Tile with EcoSolution Q® Face,ec386nqe,30721,Whitfield,"616 East Walnut Avenue, Dalton, GA 30721",34.76038,-84.95916
"EcoWorx® Performance Broadloom Carpet with Nylon-6,6 Face",ec38wa30,30721,Whitfield,"616 East Walnut Avenue, Dalton, GA 30721",34.76038,-84.95916
CushionBac RenewTM Nylon 6 styles of modular carpet,ec3gm6as,30240,Troup,"1503 Orchard Hill Road, Lagrange, GA 30240",33.002754,-85.054565
Legato Liquid Linoleum,ec3ax2h7,30701,Gordon,"US-41 South, Calhoun, GA 30701",34.47348,-84.93447
ClassicBac® Broadloom Carpet with EcoSolution Q® Face Fiber,ec39wm08,30721,Whitfield,"616 East Walnut Avenue, Dalton, GA 30721",34.76038,-84.95916
StaLok® Broadloom Carpet with EcoSolution Q® Face Fiber,ec38j1ch,30721,Whitfield,"616 East Walnut Avenue, Dalton, GA 30721",34.76038,-84.95916
ClassicBac® Broadloom Carpet with Polyester Face Fiber,ec3ep5ya,30721,Whitfield,"616 East Walnut Avenue, Dalton, GA 30721",34.76038,-84.95916
ClassicBac® Broadloom Carpet with EcoSolution Q® Face Fiber,ec3m8atu,30721,Whitfield,"616 East Walnut Avenue, Dalton, GA 30721",34.76038,-84.95916
40DUCTBANK,ec360rgg,30080,Cobb County,"2820 Plant Atkinson Rd, Smyrna, GA 30080, USA",33.8329472,-84.4711279
EcoLogix® Carpet Tile with Solution Q® or Solution Q Extreme® Face,ec352waj,30721,Whitfield,"616 East Walnut Avenue, Dalton, GA 30721",34.76038,-84.95916
EVOBDTRD3,ec382jwr,30290,Fayette County,"195 Peggy Ln, Tyrone, GA 30290, USA",33.4963682,-84.58409730000001
"GlasBac, Nylon 6, 12 oz/yd2",ec3f5tq8,30240,Troup,"1503 Orchard Hill Road, Lagrange, GA 30240",33.002754,-85.054565
"GlasBac®RE, Nylon 6, 12 oz/yd2",ec3p7cat,30240,Troup,"1503 Orchard Hill Road, Lagrange, GA 30240",33.002754,-85.054565
"GlasBac, Nylon 66, 12 oz/yd2",ec3dm5uu,30240,Troup,"1503 Orchard Hill Road, Lagrange, GA 30240",33.002754,-85.054565
"GlasBac®RE, Nylon 66, 12 oz/yd2",ec3fz5s5,30240,Troup,"1503 Orchard Hill Road, Lagrange, GA 30240",33.002754,-85.054565
"GlasBac, Nylon 6, 16 oz/yd2",ec3s866n,30240,Troup,"1503 Orchard Hill Road, Lagrange, GA 30240",33.002754,-85.054565
"GlasBac®RE, Nylon 6, 16 oz/yd2",ec3j47ns,30240,Troup,"1503 Orchard Hill Road, Lagrange, GA 30240",33.002754,-85.054565
"GlasBac, Nylon 66, 16 oz/yd2",ec3m6jhn,30240,Troup,"1503 Orchard Hill Road, Lagrange, GA 30240",33.002754,-85.054565
"GlasBac®RE, Nylon 66, 16 oz/yd2",ec37k1rd,30240,Troup,"1503 Orchard Hill Road, Lagrange, GA 30240",33.002754,-85.054565
"GlasBac®RE, Nylon 6, 20 oz/yd2",ec3245tz,30240,Troup,"1503 Orchard Hill Road, Lagrange, GA 30240",33.002754,-85.054565
"GlasBac, Nylon 66, 20 oz/yd2",ec38dyg9,30240,Troup,"1503 Orchard Hill Road, Lagrange, GA 30240",33.002754,-85.054565
"GlasBac®RE, Nylon 66, 20 oz/yd2",ec3cfg3p,30240,Troup,"1503 Orchard Hill Road, Lagrange, GA 30240",33.002754,-85.054565
"GlasBac, Nylon 6, 24 oz/yd2",ec38x0te,30240,Troup,"1503 Orchard Hill Road, Lagrange, GA 30240",33.002754,-85.054565
"GlasBac®RE, Nylon 6, 24 oz/yd2",ec3050wk,30240,Troup,"1503 Orchard Hill Road, Lagrange, GA 30240",33.002754,-85.054565
"GlasBac, Nylon 66, 24 oz/yd2",ec3a0cxw,30240,Troup,"1503 Orchard Hill Road, Lagrange, GA 30240",33.002754,-85.054565
"GlasBac®RE, Nylon 66, 24 oz/yd2",ec3ghacg,30240,Troup,"1503 Orchard Hill Road, Lagrange, GA 30240",33.002754,-85.054565
"GlasBac, Nylon 6, 28 oz/yd2",ec3pmqwg,30240,Troup,"1503 Orchard Hill Road, Lagrange, GA 30240",33.002754,-85.054565
"GlasBac®RE, Nylon 6, 28 oz/yd2",ec333zy0,30240,Troup,"1503 Orchard Hill Road, Lagrange, GA 30240",33.002754,-85.054565
"GlasBac, Nylon 66, 28 oz/yd2",ec3zh6x6,30240,Troup,"1503 Orchard Hill Road, Lagrange, GA 30240",33.002754,-85.054565
"GlasBac®RE, Nylon 66, 28 oz/yd2",ec3rzcw9,30240,Troup,"1503 Orchard Hill Road, Lagrange, GA 30240",33.002754,-85.054565
