Name,ID,Zip,County,Address,Latitude,Longitude
Mix G-Mix NW 2HR CMU,ec33bb64,04073,York County,"Sanford, ME 04073, USA",43.415378,-70.7356619
Mix G-Mix EZ Bricks,ec3dnrg4,04073,York County,"Sanford, ME 04073, USA",43.415378,-70.7356619
Mix Lightweight CMU,ec3176r7,04073,York County,"Sanford, ME 04073, USA",43.415378,-70.7356619
Mix Normal Wt Concrete,ec3d4q8s,04073,York County,"Sanford, ME 04073, USA",43.415378,-70.7356619
Mix Concrete Brick,ec3h3e48,04073,York County,"Sanford, ME 04073, USA",43.415378,-70.7356619
12.5mm 65gyr FMR2 PG64-28ETCop 114.20,ec3ht3fy,04330,Kennebec County,"177 Lyons Rd, Sidney, ME 04330, USA",44.453804,-69.7191543
12.5mm 65gyr FMR3 PG64-28ETMA 114.20Zyco,ec3qx98y,04330,Kennebec County,"177 Lyons Rd, Sidney, ME 04330, USA",44.453804,-69.7191543
G-Mix 004 Opal,ec3xbuph,04073,York County,"Sanford, ME 04073, USA",43.415378,-70.7356619
9.5mm 65gyr FT PG64-28ETCop 115.20 Zyco,ec376q81,04330,Kennebec County,"177 Lyons Rd, Sidney, ME 04330, USA",44.453804,-69.7191543
9.5mm 75gyr FT PG64-28SP 125.20,ec3j7f6a,04330,Kennebec County,"177 Lyons Rd, Sidney, ME 04330, USA",44.453804,-69.7191543
9.5mm 65gyr FT PG64-28SP 115.20,ec36fr0f,04330,Kennebec County,"177 Lyons Rd, Sidney, ME 04330, USA",44.453804,-69.7191543
9.5mm 65gyr FT PG64-28ETMA 115.20 Zyco,ec37s82p,04330,Kennebec County,"177 Lyons Rd, Sidney, ME 04330, USA",44.453804,-69.7191543
9.5mm 65gyr FT PG64-28NH 115.20 Zyco,ec33ajwg,04330,Kennebec County,"177 Lyons Rd, Sidney, ME 04330, USA",44.453804,-69.7191543
9.5mm 65gyr PG64-22NH 115.20,ec35dm8j,04330,Kennebec County,"177 Lyons Rd, Sidney, ME 04330, USA",44.453804,-69.7191543
9.5mm 65gyr FMT PG64-28NH 115.20,ec3ugmee,04330,Kennebec County,"177 Lyons Rd, Sidney, ME 04330, USA",44.453804,-69.7191543
9.5mm 65gyr FT PG64-28NH 115.20,ec33q14e,04330,Kennebec County,"177 Lyons Rd, Sidney, ME 04330, USA",44.453804,-69.7191543
9.5mm 65gyr FMT PG64-28ETMA 115.20 Zyco,ec3r3pcf,04330,Kennebec County,"177 Lyons Rd, Sidney, ME 04330, USA",44.453804,-69.7191543
9.5mm 65gyr FTS PG64-28NH 115.20,ec377364,04330,Kennebec County,"177 Lyons Rd, Sidney, ME 04330, USA",44.453804,-69.7191543
19.0mm 75gyr FR PG64-28SP 122.20,ec3j9879,04330,Kennebec County,"177 Lyons Rd, Sidney, ME 04330, USA",44.453804,-69.7191543
19.0mm 65gyr PG64-28NH 112.00 Zyco,ec3gpser,04330,Kennebec County,"177 Lyons Rd, Sidney, ME 04330, USA",44.453804,-69.7191543
19.0mm 65gyr FR PG64-28SP 112.20,ec3mfcdm,04330,Kennebec County,"177 Lyons Rd, Sidney, ME 04330, USA",44.453804,-69.7191543
12.5mm 75gyr FMR2 PG64-28SP 124.20,ec361549,04330,Kennebec County,"177 Lyons Rd, Sidney, ME 04330, USA",44.453804,-69.7191543
12.5mm 65gyr FMR3 PG64-28NH 114.20-1Zy,ec3ghrh5,04330,Kennebec County,"177 Lyons Rd, Sidney, ME 04330, USA",44.453804,-69.7191543
9.5mm 65gyr FMT PG64-28SP 115.20,ec330xfq,04330,Kennebec County,"177 Lyons Rd, Sidney, ME 04330, USA",44.453804,-69.7191543
12.5mm 65gyr FMR3 PG64-28NH 114.20,ec3zx2zp,04330,Kennebec County,"177 Lyons Rd, Sidney, ME 04330, USA",44.453804,-69.7191543
19.0mm 65gyr FR PG64-28SP 112.00,ec3146k7,04330,Kennebec County,"177 Lyons Rd, Sidney, ME 04330, USA",44.453804,-69.7191543
9.5mm 65gyr FTS PG64-28SP 115.20,ec3hazu3,04330,Kennebec County,"177 Lyons Rd, Sidney, ME 04330, USA",44.453804,-69.7191543
19.0mm 65gyr FR PG64-28NH 112.00,ec3b8uk2,04330,Kennebec County,"177 Lyons Rd, Sidney, ME 04330, USA",44.453804,-69.7191543
9.5mm 65gyr FMT PG64-28NH 115.20 Zyco,ec3k5hr4,04330,Kennebec County,"177 Lyons Rd, Sidney, ME 04330, USA",44.453804,-69.7191543
